Quicksort
Array Length,Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10
700,0.369,0.3259,0.3363,0.3718,0.3319,0.3221,0.3289,0.3224,0.3268,0.3336,
710,0.3282,0.3271,0.3352,0.3251,0.3293,0.3332,0.3245,0.3335,0.3332,0.3512,
720,0.3813,0.3364,0.3448,0.3465,0.3372,0.334,0.3463,0.3359,0.3364,0.3521,
730,0.3295,0.3368,0.3384,0.3322,0.3355,0.3388,0.3287,0.3335,0.3345,0.3331,
740,0.3669,0.3636,0.3595,0.3738,0.3685,0.3621,0.3691,0.3603,0.3665,0.4425,
750,0.2489,0.3284,0.44,0.3918,0.3894,0.3736,0.3973,0.3718,0.3833,0.3766,
760,0.4376,0.4389,0.4703,0.3997,0.4435,0.4499,0.4168,0.4661,0.4274,0.4734,
770,0.4094,0.3934,0.4195,0.381,0.3977,0.378,0.3871,0.3846,0.393,0.3983,
780,0.4266,0.4102,0.4209,0.4034,0.4188,0.4058,0.499,0.4428,0.4298,0.4019,
790,0.4082,0.407,0.3996,0.4063,0.3967,0.4057,0.3992,0.4003,0.4045,0.4014,
800,0.4284,0.419,0.4323,0.4323,0.4654,0.4565,0.4334,0.432,0.4226,0.4246,
810,0.4437,0.4429,0.439,0.4402,0.4507,0.4404,0.4502,0.4363,0.4446,0.4378,
820,0.4549,0.448,0.4454,0.584,0.4502,0.4513,0.4493,0.4555,0.4424,0.457,
830,0.4466,0.4654,0.4914,0.4611,0.4493,0.445,0.46,0.3437,0.2448,0.2333,
840,0.2472,0.2507,0.2424,0.2608,0.2645,0.2695,0.2521,0.2492,0.2456,0.2485,
850,0.265,0.2637,0.2654,0.2738,0.2546,0.2532,0.2712,0.2526,0.259,0.2585,
860,0.2796,0.2576,0.2605,0.2687,0.2653,0.2627,0.2584,0.2592,0.2701,0.2617,
870,0.2607,0.3744,0.3077,0.256,0.2588,0.2623,0.2625,0.2572,0.2559,0.2607,
880,0.274,0.2748,0.2768,0.2718,0.2714,0.2667,0.2748,0.2728,0.2691,0.2802,
890,0.2637,0.2648,0.2682,0.2798,0.264,0.2688,0.2641,0.2716,0.2656,0.2651,
900,0.2833,0.2909,0.2907,0.2831,0.3064,0.3087,0.2902,0.2926,0.2838,0.2849,
910,0.2847,0.294,0.2881,0.2884,1.6638,0.251,0.2589,0.2542,0.2562,0.259,
920,0.4071,0.3048,0.2963,0.2946,0.3484,0.3218,0.3039,0.3007,0.3058,0.296,
930,0.3139,0.3062,0.2986,0.294,0.2981,0.3107,0.3186,0.3067,0.3078,0.3107,
940,0.3029,0.3315,0.3137,0.3065,0.3103,0.3059,0.3041,0.3042,0.3177,0.3053,
950,0.3133,0.3163,0.3077,0.3173,0.3364,0.3086,0.3085,0.318,0.3114,0.317,
960,0.3235,0.3253,0.3105,0.322,0.3401,0.3191,0.3225,0.3133,0.3177,0.3268,
970,0.335,0.3704,0.3768,0.3609,0.3418,0.3477,0.3317,0.3371,0.3416,0.3381,
980,0.3264,0.3293,0.3218,0.327,0.3325,0.3246,0.3277,0.3315,0.3227,0.3242,
990,0.3557,0.3496,0.3443,0.3537,0.3433,0.3453,0.3486,0.3467,0.3478,0.3519,
1000,0.3524,0.3641,0.3511,0.3651,0.3577,0.3554,0.3547,0.3583,0.3508,0.3562,
